INFO 2025-04-13 16:35:04,216 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-13 16:35:04,217 autoreload Waiting for apps ready_event.
DEBUG 2025-04-13 16:35:05,147 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-13 16:35:05,173 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\accounts\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,176 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\sobaka\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,176 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\vouchers\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,176 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\crispy_bootstrap5\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\cart\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\search_app\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\order\templates with glob **/*.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\accounts\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,177 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\sobaka\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\search_app\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\cart\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\vouchers\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\order\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,178 autoreload Watching dir C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\crispy_bootstrap5\locale with glob **/*.mo.
DEBUG 2025-04-13 16:35:05,257 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-04-13 16:35:05,259 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-04-13 16:35:05,408 autoreload File C:\Users\tikk\AppData\Local\Programs\Python\Python313\Lib\_colorize.py first seen with mtime 1738687056.0
DEBUG 2025-04-13 16:35:05,408 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1743430233.0133715
DEBUG 2025-04-13 16:35:05,408 autoreload File C:\Users\tikk\AppData\Local\Programs\Python\Python313\Lib\weakref.py first seen with mtime 1738687056.0
DEBUG 2025-04-13 16:35:05,408 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1743430218.8262022
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\django\utils\_os.py first seen with mtime 1743430218.9067793
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_functools.py first seen with mtime 1738687056.0
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\stripe\_price.py first seen with mtime 1743430233.3989592
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\AppData\Local\Programs\Python\Python313\Lib\inspect.py first seen with mtime 1738687056.0
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\stripe\_customer_session.py first seen with mtime 1743430233.3675156
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1743430218.4599578
DEBUG 2025-04-13 16:35:05,409 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1743430218.82769
DEBUG 2025-04-13 16:35:05,410 autoreload File C:\Users\tikk\Desktop\Project\git4\ModelAgency\env\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1743430218.7496543
